Station ID,Latitude,Longtitude,Altitude
17020,41.6248,32.3569,33
17022,41.449242,31.777917,135
17026,42.0299,35.1545,32
17030,41.344167,36.256389,4
17033,40.9838,37.8858,5
17034,40.9227,38.3878,38
17040,41.04,40.5013,3
17045,41.1752,41.8187,613
17046,41.1061,42.7055,1827
17050,41.6767,26.5508,51
17052,41.7382,27.2178,232
17056,40.9585,27.4965,4
17064,40.9113,29.1558,18
17066,40.7663,29.9173,74
17069,40.7676,30.3934,30
17070,40.7329,31.6022,743
17072,40.8437,31.1488,146
17074,41.371,33.7756,800
17077,41.2327,32.6294,485
17080,40.6082,33.6102,755
17084,40.5461,34.9362,776
17085,40.6668,35.8353,409
17086,40.3312,36.5577,611
17088,40.4598,39.4653,1216
17089,40.2547,40.2207,1584
17090,39.7437,37.002,1294
17094,39.7523,39.4868,1216
17096,39.9529,41.1897,1758
17097,40.6042,43.1073,1777
17099,39.7253,43.0522,1646
17100,39.9227,44.0523,856
17112,40.141,26.3993,6
17116,40.2308,29.0133,100
17119,40.6589,29.2796,4
17120,40.1414,29.9772,539
17126,39.7656,30.5502,801
17135,39.8433,33.5181,751
17140,39.8243,34.8159,1301
17150,39.6326,27.9201,102
17160,39.1639,34.1561,1007
17165,39.1058,39.5408,981
17186,38.6153,27.4049,71
17188,38.671233,29.40404,919
17190,38.738,30.5604,1034
17192,38.3705,33.9987,970
17193,38.6163,34.7025,1260
17196,38.687,35.5,1094
17199,38.3367,38.2173,950
17201,38.6443,39.2561,989
17203,38.8847,40.5007,1139
17204,38.7509,41.5023,1322
17208,38.475,42.1625,1785
17210,37.9319,41.9354,895
17037,40.9985,39.7649,25
17220,38.3949,27.0819,29
17234,37.8402,27.8379,56
17237,37.762,29.0921,425
17238,37.722,30.294,957
17240,37.7848,30.5679,997
17244,37.9837,32.574,1031
17246,37.1932,33.2202,1018
17250,37.9587,34.6795,1211
17255,37.576,36.915,572
17261,37.0585,37.351,854
17262,36.7085,37.1123,640
17265,37.7553,38.2775,672
17270,37.1608,38.7863,550
17275,37.3103,40.7284,1040
17280,37.8973,40.2027,674
17282,37.8636,41.1562,610
17285,37.5745,43.7388,1727
17287,37.5209,42.4523,1350
17292,37.2095,28.3668,646
17300,36.9063,30.799,64
17340,36.7808,34.6031,7
17351,37.0041,35.3443,23
17355,37.1021,36.2539,94
17372,36.2048,36.1513,104
17636,40.9758,28.7865,37
17130,39.9727,32.8637,891
17155,39.4171,29.9891,969
17172,38.4693,43.346,1675
17638,40.91,29.16,27
17078,41.1961,32.6213,400
17152,39.65,27.8666,102
17207,38.3666,42.1,1573